Company;Job Title;Industry;Location;Employment Type;Experience Level;Remote Flexibility;Salary (Annual);Currency;Years of Experience
Adobe;DevOps Engineer;Media;Chicago;Internship;Lead;Remote;154571.28;INR;2,5
Salesforce;DevOps Engineer;Tech;Remote;Full-time;Entry;Onsite;38247.45;USD;6,2
Salesforce;UX Designer;Healthcare;San Francisco;Internship;Lead;Remote;31124.1;AUD;6,2
Meta;Data Analyst;Retail;Boston;Internship;Mid;Remote;186068.3;AUD;2,2
Netflix;Product Manager;Education;San Francisco;Contract;Lead;Hybrid;126050.37;EUR;4,5
Tesla;UX Designer;Retail;Seattle;Full-time;Entry;Onsite;59135.21;GBP;12,7
Google;Software Engineer;Finance;Boston;Internship;Senior;Remote;187107.08;INR;13,5
Netflix;Data Analyst;Finance;Remote;Part-time;Lead;Remote;80877.07;AUD;3,6
Amazon;DevOps Engineer;Media;San Francisco;Contract;Entry;Remote;104305,00;USD;5,1
Netflix;Data Analyst;Media;Austin;Internship;Lead;Remote;90487.9;GBP;6,5
IBM;Product Manager;Finance;Chicago;Full-time;Entry;Hybrid;56217.56;EUR;11,1
Meta;UX Designer;Healthcare;Boston;Contract;Entry;Remote;44840.53;GBP;6,7
Microsoft;Product Manager;Retail;San Francisco;Contract;Lead;Remote;79614.05;GBP;11,7
Tesla;Software Engineer;Finance;Austin;Contract;Senior;Hybrid;54808.92;EUR;6,5
Netflix;Product Manager;Finance;Chicago;Internship;Mid;Hybrid;48185.3;INR;0,1
Netflix;UX Designer;Healthcare;Seattle;Part-time;Senior;Hybrid;132545.92;EUR;7,2
Adobe;Data Scientist;Finance;Austin;Internship;Senior;Hybrid;92052.64;AUD;3,0
Adobe;DevOps Engineer;Finance;Seattle;Contract;Entry;Hybrid;144406.2;EUR;9,5
Tesla;Data Analyst;Education;Remote;Internship;Lead;Onsite;116124.15;GBP;8,2
Microsoft;Data Analyst;Finance;Chicago;Contract;Mid;Onsite;134155.24;AUD;14,8
Microsoft;Product Manager;Finance;Remote;Part-time;Lead;Hybrid;96492.81;AUD;10,4
Meta;UX Designer;Tech;San Francisco;Part-time;Senior;Hybrid;88321.34;EUR;7,8
Adobe;Product Manager;Tech;Austin;Full-time;Entry;Remote;174360.6;USD;10,2
Salesforce;Software Engineer;Healthcare;Remote;Internship;Lead;Remote;165618.48;EUR;2,8
Apple;UX Designer;Retail;Seattle;Internship;Entry;Onsite;66515.34;INR;11,3
Salesforce;Software Engineer;Healthcare;Austin;Part-time;Lead;Remote;74600.08;GBP;7,9
IBM;Data Analyst;Healthcare;Austin;Internship;Mid;Onsite;150018.02;INR;13,8
Apple;Product Manager;Tech;New York;Contract;Mid;Onsite;96038.76;AUD;2,1
Salesforce;DevOps Engineer;Media;New York;Part-time;Lead;Hybrid;53850.41;INR;12,6
Adobe;Software Engineer;Finance;Boston;Internship;Lead;Hybrid;146398.43;GBP;10,7
Google;Software Engineer;Healthcare;San Francisco;Contract;Mid;Onsite;79073.95;GBP;8,5
Microsoft;Product Manager;Retail;Boston;Contract;Entry;Onsite;105032.32;EUR;14,8
Google;UX Designer;Healthcare;Austin;Full-time;Lead;Remote;161857.38;EUR;3,1
IBM;DevOps Engineer;Education;New York;Part-time;Mid;Remote;166924.88;AUD;5,3
Meta;Product Manager;Retail;Austin;Full-time;Mid;Hybrid;186190.68;INR;13,0
Netflix;Software Engineer;Media;Seattle;Internship;Mid;Onsite;137508.34;GBP;5,6
Meta;DevOps Engineer;Healthcare;Seattle;Internship;Senior;Onsite;30420.42;USD;11,0
Salesforce;UX Designer;Finance;Seattle;Part-time;Lead;Hybrid;84887.08;INR;5,1
Netflix;DevOps Engineer;Tech;San Francisco;Full-time;Lead;Remote;51120.32;EUR;6,6
Amazon;DevOps Engineer;Healthcare;New York;Contract;Entry;Onsite;91274.02;USD;5,6
Apple;UX Designer;Media;San Francisco;Full-time;Entry;Remote;111057.14;EUR;8,9
Netflix;Data Analyst;Education;Chicago;Part-time;Lead;Remote;68920.97;USD;11,0
Meta;Software Engineer;Education;Boston;Part-time;Mid;Remote;120186.41;USD;9,2
Amazon;UX Designer;Retail;Chicago;Internship;Mid;Remote;182420.8;EUR;11,3
Tesla;Product Manager;Finance;New York;Contract;Entry;Remote;124077.43;AUD;10,8
Meta;Software Engineer;Retail;Remote;Part-time;Lead;Hybrid;139848.86;EUR;7,4
Microsoft;Data Scientist;Tech;Austin;Contract;Mid;Hybrid;176338.38;AUD;6,3
Microsoft;Data Analyst;Retail;San Francisco;Full-time;Senior;Remote;36770.57;USD;14,2
Salesforce;UX Designer;Education;Chicago;Internship;Entry;Onsite;121216.02;AUD;2,3
Apple;Software Engineer;Retail;Austin;Internship;Entry;Hybrid;148774.9;EUR;0,9
IBM;Data Analyst;Healthcare;Chicago;Part-time;Entry;Remote;150343.1;USD;2,5
Meta;Software Engineer;Healthcare;New York;Contract;Entry;Remote;86951.87;GBP;4,1
Adobe;UX Designer;Retail;Austin;Full-time;Lead;Onsite;58369.84;EUR;3,8
Salesforce;Data Analyst;Tech;Boston;Full-time;Mid;Remote;110199.98;GBP;13,8
Tesla;Software Engineer;Healthcare;New York;Internship;Senior;Hybrid;170419.49;AUD;5,6
Salesforce;Data Analyst;Education;San Francisco;Internship;Senior;Hybrid;85641.16;AUD;6,9
Meta;DevOps Engineer;Retail;New York;Internship;Senior;Onsite;195215.82;EUR;11,0
Tesla;Data Analyst;Finance;Remote;Contract;Entry;Hybrid;30248.55;GBP;12,7
Apple;UX Designer;Education;San Francisco;Part-time;Senior;Remote;37463.05;EUR;13,5
Microsoft;Data Scientist;Tech;Remote;Part-time;Lead;Remote;130622.28;USD;6,5
Netflix;UX Designer;Media;Boston;Contract;Senior;Hybrid;76232.5;USD;14,2
Amazon;UX Designer;Education;Austin;Internship;Entry;Onsite;90908.87;EUR;6,8
Meta;DevOps Engineer;Media;Remote;Full-time;Mid;Hybrid;55215.05;EUR;14,5
Meta;Software Engineer;Tech;Seattle;Internship;Mid;Remote;108547.35;EUR;1,8
Tesla;Product Manager;Media;Chicago;Full-time;Senior;Remote;33706.03;USD;3,0
Netflix;Data Analyst;Tech;Seattle;Full-time;Mid;Onsite;103636.58;GBP;7,4
Apple;Software Engineer;Healthcare;Austin;Internship;Mid;Remote;134398.12;AUD;3,7
Adobe;Data Analyst;Tech;Austin;Internship;Mid;Hybrid;63907.83;AUD;3,7
Netflix;UX Designer;Retail;Boston;Internship;Senior;Onsite;115406.85;GBP;4,1
Meta;Data Analyst;Education;Remote;Contract;Mid;Remote;47022.84;EUR;4,0
Tesla;Product Manager;Finance;New York;Part-time;Senior;Onsite;148596.52;AUD;0,4
Apple;UX Designer;Retail;Austin;Part-time;Lead;Remote;45343.75;EUR;9,0
IBM;Software Engineer;Finance;Austin;Part-time;Senior;Remote;33725.19;AUD;10,6
Microsoft;Product Manager;Media;Chicago;Internship;Entry;Hybrid;81300.08;EUR;14,6
Amazon;DevOps Engineer;Retail;Chicago;Contract;Mid;Onsite;130121.53;EUR;5,7
IBM;UX Designer;Retail;San Francisco;Part-time;Senior;Onsite;67552.19;AUD;1,6
Apple;Product Manager;Healthcare;New York;Full-time;Senior;Hybrid;31937.26;EUR;3,7
Google;Data Analyst;Education;Seattle;Internship;Mid;Hybrid;113823.94;GBP;5,3
IBM;DevOps Engineer;Media;New York;Part-time;Lead;Remote;165863.08;USD;4,4
Amazon;UX Designer;Finance;Chicago;Full-time;Entry;Hybrid;130985.19;AUD;13,4
Tesla;Software Engineer;Tech;San Francisco;Contract;Mid;Remote;99577.58;AUD;10,8
Microsoft;Data Analyst;Education;Remote;Internship;Mid;Remote;91340.92;GBP;1,3
Apple;Software Engineer;Media;Austin;Full-time;Lead;Remote;82420.08;GBP;7,1
Netflix;UX Designer;Healthcare;New York;Internship;Entry;Hybrid;104755.87;INR;3,4
Microsoft;Data Analyst;Media;Austin;Internship;Mid;Onsite;40367.24;GBP;12,3
Apple;UX Designer;Healthcare;San Francisco;Internship;Entry;Onsite;127107.39;AUD;12,0
Adobe;Software Engineer;Finance;New York;Part-time;Mid;Remote;101973.73;GBP;3,0
Microsoft;Data Analyst;Education;Remote;Internship;Senior;Hybrid;118346.99;USD;11,8
Microsoft;UX Designer;Finance;New York;Full-time;Entry;Onsite;162522.6;INR;13,0
Adobe;Data Scientist;Retail;Seattle;Full-time;Mid;Hybrid;98505.57;AUD;9,1
Netflix;DevOps Engineer;Finance;San Francisco;Internship;Senior;Hybrid;33439.59;INR;4,7
Apple;Software Engineer;Healthcare;Chicago;Internship;Senior;Hybrid;153895.9;AUD;9,7
Tesla;DevOps Engineer;Education;Boston;Contract;Entry;Onsite;164553.37;USD;4,7
Salesforce;Data Scientist;Tech;New York;Part-time;Mid;Remote;72413.34;GBP;0,8
Adobe;Data Scientist;Education;Chicago;Full-time;Entry;Remote;93319.35;AUD;6,7
Amazon;Product Manager;Media;Boston;Full-time;Senior;Remote;95716.16;EUR;12,8
Meta;DevOps Engineer;Education;Remote;Full-time;Entry;Hybrid;184957.62;EUR;9,0
Meta;DevOps Engineer;Media;Chicago;Contract;Lead;Hybrid;174769.65;GBP;3,8
Tesla;Data Scientist;Tech;San Francisco;Contract;Senior;Hybrid;146350.23;GBP;1,0
Meta;DevOps Engineer;Media;Chicago;Contract;Mid;Remote;117939.91;EUR;13,5
Google;DevOps Engineer;Education;Austin;Contract;Lead;Hybrid;96006.74;USD;8,7
Apple;DevOps Engineer;Retail;Chicago;Internship;Senior;Onsite;81033.12;EUR;12,6
Amazon;DevOps Engineer;Healthcare;Chicago;Part-time;Senior;Onsite;45180.97;INR;3,3
IBM;Product Manager;Education;Boston;Full-time;Lead;Remote;177286.87;AUD;8,7
Salesforce;Data Analyst;Media;Seattle;Contract;Lead;Remote;178044.35;EUR;2,1
Adobe;Software Engineer;Healthcare;Boston;Part-time;Entry;Hybrid;86547.01;EUR;4,7
Amazon;Data Scientist;Finance;Seattle;Full-time;Mid;Onsite;103730.94;GBP;6,7
Apple;DevOps Engineer;Healthcare;San Francisco;Contract;Mid;Remote;145047.18;EUR;3,4
Salesforce;Data Scientist;Healthcare;New York;Full-time;Entry;Hybrid;191238.77;GBP;10,9
Amazon;Product Manager;Education;Austin;Part-time;Mid;Hybrid;33251.2;EUR;10,9
Amazon;Data Analyst;Healthcare;Chicago;Full-time;Lead;Onsite;73484.16;AUD;9,3
Google;Data Analyst;Media;San Francisco;Internship;Lead;Hybrid;51011.16;INR;7,1
Microsoft;DevOps Engineer;Retail;Austin;Part-time;Lead;Remote;116969.41;AUD;1,8
Apple;Product Manager;Retail;New York;Contract;Lead;Hybrid;57263.51;AUD;7,4
Google;Data Analyst;Media;San Francisco;Full-time;Lead;Remote;191405.82;AUD;1,1
Meta;Product Manager;Education;San Francisco;Full-time;Mid;Remote;174882.28;INR;12,0
